Covariates,AICc,delta AICc
"14. Herring Spawning Biomass, Chinook Smolt Production, Hake Spawning Biomass, Location",547.29,0
"12. Chinook Smolt Production, Hake Spawning Biomass, Location",547.58,0.29
"26. Harbor Seal Abundance, Chinook Smolt Production, Hake Spawning Biomass, Location",549.48,2.2
"13. Chinook Escapement, Chinook Smolt Production, Hake Spawning Biomass, Location",549.5,2.21
"23. Harbor Seal Abundance, Herring Spawning Biomass, Hake Spawning Biomass, Location",549.54,2.25
"6. Hake Spawning Biomass, Location",549.55,2.27
"21. Harbor seal Abundance, Hake Spawning iomass, Location",551.18,3.89
"10. Chinook Escapements, Hake Spawning Biomass, Location",551.46,4.18
"5. Chinook Smolts Production, Location",552.72,5.43
"16. Herring Spawning Biomass, Hake Spawning Biomass, Chinook Escapements, Location",552.97,5.69
