Covariates,AICc,delta AICc
"11. Chinook Escapements, Chinook Smolt Production, Location",480.69,0
"10. Chinook Escapements, Hake Spawning Biomass, Location",481.41,0.72
"7. Herring Spawning Biomass, Chinook Escapements, Location",484.2,3.51
"4. Chinook Escapements, Location",484.9,4.21
"12. Chinook Smolt Production, Hake Spawning Biomass, Location",485.17,4.48
"5. Chinook Smolts Production, Location",486.5,5.81
"6. Hake Spawning Biomass, Location",486.56,5.87
"19. Harbor Seal Abundance, Chinook Escapements, Location",486.74,6.05
"9. Herring Spawning Biomass, Chinook Smolt Production, Location",487.91,7.22
1. Null,488.12,7.43
,,
