Covariates,AICc,delta AICc
"24. Columbia Discharge (High), Location",742.09,0
"33. Columbia Discharge (High), Upwelling (Summer), Location",742.83,0.74
"26. Columbia Discharge (High), NPGO, Location",743.06,0.97
"25. Columbia Discharge (High), PDO, Location",743.54,1.45
"28. Upwelling (Spring), Location",743.86,1.77
"27. Columbia Discharge (High), MEI, Location",744.04,1.95
"32. Columbia Discharge (High), SST (Summer), Location",744.07,1.98
"35. SST (Summer), Upwelling (Summer), Columbia Discharge (High), Location",744.48,2.38
"29. Columbia Discharge (High), PDO, Upwelling (Spring), Location",744.56,2.47
"30. Columbia Discharge High, NPGO, Upwelling (Spring), Location",745.06,2.97
,,
